title,review_text,review_date,reviewer_name,review_score
ouija_origin_of_evil,Good popcorn horror pic with a few funny moments. I'm not sure whether or not they were intended.,"Apr 3, 2024",Joshua F,3
ouija_origin_of_evil,"This one was nice. Normally, horror movies can't make me feel true fear about topic shown on the plot, but this one really made me feel I may not be alone at home.","Apr 3, 2024",Jose Raul B,4
ouija_origin_of_evil,Dreadful rubbish. Not scary or fun to watch.,"Mar 28, 2024",Colin R,2
ouija_origin_of_evil,I can't believe so many people didn't get it. It was a campy 1960's retro spin that was a fun horror thrill ride. Being scared and having fun at the same time is what this genre is all about. This film nailed it!,"Mar 24, 2024",OLD B,5
ouija_origin_of_evil,"It's great except for two things: it's too similar to other horror movies and its ending is awful.  But ignoring those problems, it's fantastic.","Feb 23, 2024",billybob 1,4
ouija_origin_of_evil,This is nothing like part 1.  Part 2 is a superior movie in every way.  One of the better horror movies made in the 21st century.  List this under the category ...GEM.,"Dec 6, 2023",Geoffrey F,5
ouija_origin_of_evil,"A fake psychic purchases a Ouija board game and is soon made aware the spiritual realm is real...and evil.

An entertaining horror flick from Flanagan, who has done such things as Fall of the House of Usher and The Haunting of Hill House series.  Despite my esteem for those shows this was my first viewing of one of his films.   It was interesting to see how he can focus the story a little over an hour and a half when he usually has hours to work his magic.  It's a well done traditional scary movie and excels in that regard.

My wife thought Father Thomas was hot.   She didn't know he was the kid from ET.","Dec 3, 2023",Logan D,4
ouija_origin_of_evil,"Interesting storyline and some truly unsettling moments. 
Good also after rewatching, really decent film.","Nov 12, 2023",Rosie E,3
ouija_origin_of_evil,More competent than the first but not much more than that.,"Oct 30, 2023",Steve D,2
ouija_origin_of_evil,a great and a must watch movie this october,"Oct 17, 2023",Patrick Lawrence N,4
ouija_origin_of_evil,"Flanagan's ""Ouija"" is a typical film about demonic possession, but well-structured, with well-developed characters and dialogue, an atmosphere created with the director's typical elements such as lighting and smooth camera movements, and horror scenes built up through excellent technique, the right tension and a pinch of irony.","Oct 11, 2023",Vito P,4
ouija_origin_of_evil,I really enjoyed the first half. Very scary. Improbable end.,"Oct 10, 2023",Patricia M,3
ouija_origin_of_evil,"A pesar de la poca aceptación que tuvo la película anterior, eso no impidió que Blumhouse y Hasbro nos trajeran esta precuela que técnicamente está un poco mejor que su predecesora, aunque existen algunas cosas que son un poco difíciles de encajar con la película anterior. Después de verla toda y empezar a hacer la comparativa con la película anterior, llega el momento de preguntarse si todo lo narrado en esta película ocurrió al cien por ciento o si se trata solo de una narración con partes alteradas por parte de quien ha estado narrando todo. Lo cierto es que mientras la película anterior es mucho más cliché y random, esta precuela es mucho más consistente. El guion está bien estructurado y tiene un mejor elenco. El estilo de los años 60 le da una buena pinta y al menos el argumento posee algunos elementos que hacían falta en la primera película. La historia de origen que narra esta película logra profundizar mejor sobre las fuerzas del mal que son invocadas por la ouija. En conclusión, esta película es una mejora que la saga necesitaba y hubiera sido más conveniente que esta película hubiese sido la primera entrega de la saga. Mi calificación final para esta película es un 8/10.","Sep 17, 2023",Elvis D,4
ouija_origin_of_evil,This movie is a Masterpiece! I enjoyed every moment of it! Warner Brothers should have put Mike Flanagan in charge of the Conjuring Universe!,"Aug 24, 2023",Haydn C,5
ouija_origin_of_evil,"This movie was scary, it had me turning on lights afterward","Aug 20, 2023",Cason T,3
ouija_origin_of_evil,Great Flanagan horror movie!,"Aug 13, 2023",Chief B,4
ouija_origin_of_evil,A very well done horror sequel and prequel that is genially scary.,"Jul 26, 2023",Jelisije  J,3
ouija_origin_of_evil,"Ouija: Origin of Evil surprisingly improves upon its predecessor, delivering a more engaging and chilling horror experience. With a well-crafted storyline and stronger character development, it manages to break away from the flaws of the first film and offers a more enjoyable and unsettling watch for horror enthusiasts.","Jul 23, 2023",Erik Z,3
